Company name,Company Domain Name,Website URL,Phone Number,City,State/Region,Postal Code,Country,Industry,Gewerk,Lead Score,MA-Schaetzung,MA-Konfidenz,Ansprechpartner,Aufhaenger,Fit-Signale,Quelle-URL,Lead-Status,Gefunden am,Land-Code
Parkett Zeisig (Inh. Sören Zeisig),parkett-zeisig.de,https://www.parkett-zeisig.de/,0351 2655426,Dresden,Sachsen,01326,Germany,Construction,Bodenleger / Parkett,C,~3,niedrig,Sören Zeisig (Inhaber (Meister/Restaurator Parkettleger)),Anfragen erreichen Sie aktuell nur per Telefon/Formular – mit digitaler Angebots- und Rechnungserstellung plus mobiler Baustellendoku verlieren Sie im Tagesgeschäft weniger Zeit und wirken für bodenleger / parkett-Kunden moderner.,"inhabergefuehrter Meisterbetrieb (Meister/Restaurator) | keine E-Mail auf der Website (nur Telefon) -> klassischer Kontaktweg | keine Online-Terminbuchung, keine Social",https://www.parkett-zeisig.de/,neu,2026-07-14,DE
Parkett Ziegs (Inh. Wolfram Ziegs),parkett-ziegs.de,https://parkett-ziegs.de/,03724 15072,"Burgstädt (Mittelsachsen, Raum Chemnitz)",Sachsen,09217,Germany,Construction,Bodenleger / Parkett,B,~4,niedrig,"Wolfram Ziegs (Inhaber (Parkettlegermeister, gepr. Restaurator))",Anfragen erreichen Sie aktuell nur per Telefon/Formular – mit digitaler Angebots- und Rechnungserstellung plus mobiler Baustellendoku verlieren Sie im Tagesgeschäft weniger Zeit und wirken für bodenleger / parkett-Kunden moderner.,"inhabergefuehrter Meisterbetrieb, Innung Nordost Parkett-/Fussbodentechnik | vermutlich veraltete Website (statische .html) | keine Online-Terminbuchung, keine Social -> geringe Digitalisierung",https://parkett-ziegs.de/impressum.html,neu,2026-07-14,DE
Paul Horner OHG (Dachdeckerei Paul Horner),dachdeckerei-horner.de,https://www.dachdeckerei-horner.de/,08031 41613,Rosenheim,Bayern,83024,Germany,Construction,Dachdecker,B,,niedrig,Robert und Andreas Horner (Inhaber),Anfragen erreichen Sie aktuell nur per Telefon/Formular – mit digitaler Angebots- und Rechnungserstellung plus mobiler Baustellendoku verlieren Sie im Tagesgeschäft weniger Zeit und wirken für Dach/Zimmerer-Kunden moderner.,stark veraltete Website (statische .html) | E-Mail auf Alt-Provider (@cablenet.de) -> digitale Unreife | keine Online-Terminbuchung | inhabergefuehrt & seit 1956 am Markt (2 Inhaber),https://www.dachdeckerei-horner.de/,neu,2026-07-14,DE
Ehleiter Zimmerei Holzhausbau GmbH & Co. KG,zimmerei-ehleiter.de,https://www.zimmerei-ehleiter.de/,08273 2979,Ellgau,Bayern,86679,Germany,Construction,Zimmerer/Holzbau,A,~15,mittel,,"Ihr Betrieb wächst und Sie stellen aktiv ein – sobald mehr Kolonnen unterwegs sind, wird Einsatzplanung, Zeiterfassung und Baustellendoku schnell zum Nadelöhr. Genau dafür bündelt unsere Handwerkersoftware Angebote, Zeiten und Doku an einem Ort.",15 MA = ideale ICP-Groesse | offene Stelle 'Zimmerer' -> Personalbedarf | keine echte Online-Terminbuchung | aktiv auf Instagram & Facebook -> digital-affin | familiengefuehrter Holzhausbau,https://www.zimmerei-ehleiter.de/,uebergeben,2026-07-14,DE
Holzbau Fersch GmbH,holzbau-fersch.de,https://www.holzbau-fersch.de/,08151 89448,Starnberg,Bayern,82319,Germany,Construction,Zimmerer/Holzbau,B,,niedrig,,"Ihr Betrieb wächst und Sie stellen aktiv ein – sobald mehr Kolonnen unterwegs sind, wird Einsatzplanung, Zeiterfassung und Baustellendoku schnell zum Nadelöhr. Genau dafür bündelt unsere Handwerkersoftware Angebote, Zeiten und Doku an einem Ort.",inhabergefuehrter Familien-Meisterbetrieb seit 1935 | offene Stellen -> Personalbedarf | keine Online-Terminbuchung | Instagram vorhanden,https://www.holzbau-fersch.de/,neu,2026-07-14,DE
Janker Dachdeckerei und Zimmerei GmbH,janker-dach.de,https://www.janker-dach.de/,0911 5706334,Röthenbach a. d. Pegnitz,Bayern,90552,Germany,Construction,Dachdecker/Zimmerer,D,,niedrig,"Stefan Janker (Geschäftsführer (Dachdecker- & Zimmermeister, Baubiologe))","Ihr Betrieb wächst und Sie stellen aktiv ein – sobald mehr Kolonnen unterwegs sind, wird Einsatzplanung, Zeiterfassung und Baustellendoku schnell zum Nadelöhr. Genau dafür bündelt unsere Handwerkersoftware Angebote, Zeiten und Doku an einem Ort.","mehrere Gewerke (Dachdecker + Zimmerer + Spengler) -> hoher Koordinationsbedarf | inhabergefuehrt (Stefan Janker), ueber 75 Jahre am Markt | Jobs/Karriere-Seite -> Personalbedarf | 'Buerobesuche nur mit Termin' -> Terminorganisation manuell",https://www.janker-dach.de/,neu,2026-07-14,DE
Zimmerei-Holzbau Michael Hof,zimmerei-holzbau-hof.de,https://zimmerei-holzbau-hof.de/,08704 9292659,Weihmichl,Bayern,84107,Germany,Construction,Zimmerer/Holzbau,B,,niedrig,Michael Hof (Inhaber / Zimmerermeister),"Ihr Betrieb wächst und Sie stellen aktiv ein – sobald mehr Kolonnen unterwegs sind, wird Einsatzplanung, Zeiterfassung und Baustellendoku schnell zum Nadelöhr. Genau dafür bündelt unsere Handwerkersoftware Angebote, Zeiten und Doku an einem Ort.",kleiner inhabergefuehrter Meisterbetrieb -> Papier/Excel-Prozesse | Stellenangebote -> Personalbedarf | keine Online-Terminbuchung | Inhaber lehrt an Meisterschule -> entwicklungsaffin | Facebook vorhanden,https://zimmerei-holzbau-hof.de/,uebergeben,2026-07-14,DE
Dachdecker-Meisterbetrieb Thomas Bernhardt,bernhardt-bedachungen.de,https://bernhardt-bedachungen.de/,09441 6831231,Ihrlerstein,Bayern,93346,Germany,Construction,Dachdecker,B,,niedrig,Thomas Bernhardt (Inhaber / Dachdeckermeister),"Ihr Betrieb wächst und Sie stellen aktiv ein – sobald mehr Kolonnen unterwegs sind, wird Einsatzplanung, Zeiterfassung und Baustellendoku schnell zum Nadelöhr. Genau dafür bündelt unsere Handwerkersoftware Angebote, Zeiten und Doku an einem Ort.","junger Betrieb (gegr. 2020), im Aufbau -> offen fuer digitale Tools | Karriere-Seite -> Wachstum/Personalbedarf | keine Online-Terminbuchung | Instagram + Facebook aktiv | bedient Raum Regensburg/Kelheim",https://bernhardt-bedachungen.de/,neu,2026-07-14,DE
CUBIKFABRIK (Inh. Andreas Scholz),cubikfabrik.de,https://cubikfabrik.de/,+49 157 85098983,Leipzig,Sachsen,04229,Germany,Construction,Dachdecker/Zimmerer,B,~5,niedrig,Andreas Scholz (Inhaber),Anfragen erreichen Sie aktuell nur per Telefon/Formular – mit digitaler Angebots- und Rechnungserstellung plus mobiler Baustellendoku verlieren Sie im Tagesgeschäft weniger Zeit und wirken für Dach/Zimmerer-Kunden moderner.,"inhabergefuehrt & lange am Markt (seit 1994) | kombiniert Zimmerer + Dachdecker (breites Spektrum, Dokubedarf) | keine Online-Terminbuchung, nur Anfrageformular | Mobilnummer als Hauptkontakt (Erreichbarkeitsthema)",https://cubikfabrik.de/impressum,neu,2026-07-14,DE
Ihr Zimmerermeister Martin Schwandt,ihrzimmerermeister.com,https://www.ihrzimmerermeister.com/,+49 152 28607402,Dresden,Sachsen,01157,Germany,Construction,Dachdecker/Zimmerer,A,~7,mittel,Martin Schwandt (Inhaber / Zimmerermeister),Anfragen erreichen Sie aktuell nur per Telefon/Formular – mit digitaler Angebots- und Rechnungserstellung plus mobiler Baustellendoku verlieren Sie im Tagesgeschäft weniger Zeit und wirken für Dach/Zimmerer-Kunden moderner.,"klar in ICP-Groesse (ca. 7 MA), inhabergefuehrt | mehrere Kolonnen/Gewerke moeglich (Holzbau, Planung) | keine Online-Terminbuchung, Kontakt nur Telefon/Formular | aktiv auf Instagram/Facebook/YouTube (digital-affin) | bietet Finanzierung an (projektorientiert)",https://www.ihrzimmerermeister.com/impressum-zimmermann,uebergeben,2026-07-14,DE
Dachdeckermeister Jens Fischer GmbH,ddm-jens-fischer.de,https://www.ddm-jens-fischer.de/,+49 371 4585977,Chemnitz,Sachsen,09113,Germany,Construction,Dachdecker/Zimmerer,B,~8,niedrig,Jens Fischer (Geschäftsführer / Dachdeckermeister),"Ihr Betrieb wächst und Sie stellen aktiv ein – sobald mehr Kolonnen unterwegs sind, wird Einsatzplanung, Zeiterfassung und Baustellendoku schnell zum Nadelöhr. Genau dafür bündelt unsere Handwerkersoftware Angebote, Zeiten und Doku an einem Ort.","familiengefuehrter Fachbetrieb seit 2000 | offene Stelle ('Job mit Aussicht') -> Wachstum/Kapazitaet | keine Online-Terminbuchung, nur Kontaktformular | mehrere Gewerke (Doku-/Angebotsbedarf) | Innungsbetrieb (Dachdeckerinnung Chemnitz)",https://www.ddm-jens-fischer.de/unternehmen,uebergeben,2026-07-14,DE
Martius Bedachungen (Inh. Ralf Martius),martius-bedachungen.de,https://www.martius-bedachungen.de/,+49 37601 20572,Mülsen (Raum Zwickau/Chemnitz),Sachsen,08132,Germany,Construction,Dachdecker/Zimmerer,B,~10,niedrig,Ralf Martius (Inhaber / Dachdeckermeister),"Ihr Betrieb wächst und Sie stellen aktiv ein – sobald mehr Kolonnen unterwegs sind, wird Einsatzplanung, Zeiterfassung und Baustellendoku schnell zum Nadelöhr. Genau dafür bündelt unsere Handwerkersoftware Angebote, Zeiten und Doku an einem Ort.","inhabergefuehrter Familienbetrieb in 5. Generation | aktive Stellenausschreibungen (Kapazitaets-/Planungsdruck) | keine Online-Terminbuchung, nur Kontaktformular | Zusatzgeschaeft PV/Solar & energetische Sanierung (Projektkomplexitaet) | Ausbildungsbetrieb (Zeiterfassung/Doku relevant)",https://www.martius-bedachungen.de/impressum,uebergeben,2026-07-14,DE
Roland Köhler Dachdecker GmbH,dachdecker-koehler-erfurt.de,https://dachdecker-koehler-erfurt.de/,+49 361 2227762,Erfurt,Thüringen,99087,Germany,Construction,Dachdecker/Zimmerer,B,~8,niedrig,Roland Köhler (Geschäftsführer (aus Firmenname abgeleitet)),Anfragen erreichen Sie aktuell nur per Telefon/Formular – mit digitaler Angebots- und Rechnungserstellung plus mobiler Baustellendoku verlieren Sie im Tagesgeschäft weniger Zeit und wirken für Dach/Zimmerer-Kunden moderner.,"Meisterbetrieb, ~25 Jahre am Markt, inhabergefuehrte GmbH | keine Online-Terminbuchung, nur Kontaktformular + Havarie-Telefon | PQ-VOB-zertifiziert (oeffentliche Auftraege -> hoher Doku-/Nachweisbedarf) | Innungs-/VELUX-Fachbetrieb",https://dachdecker-koehler-erfurt.de/impressum/,uebergeben,2026-07-14,DE
CAD Holzbau und Planung (Inh. Hannes Balla),hannes-balla.com,https://hannes-balla.com/,+49 36424 273891,Schöps (bei Jena),Thüringen,07768,Germany,Construction,Dachdecker/Zimmerer,B,~4,niedrig,Hannes Balla (Inhaber / Zimmermeister),Anfragen erreichen Sie aktuell nur per Telefon/Formular – mit digitaler Angebots- und Rechnungserstellung plus mobiler Baustellendoku verlieren Sie im Tagesgeschäft weniger Zeit und wirken für Dach/Zimmerer-Kunden moderner.,"inhabergefuehrter kleiner Meisterbetrieb (klar in ICP) | technik-/CAD-affin -> vermutlich offen fuer Software | Instagram aktiv (digital erreichbar) | keine Online-Terminbuchung, nur Kontaktformular | Zimmerei/Holzbau + Dach (Angebots-/Projektdoku relevant)",https://hannes-balla.com/impressum/,neu,2026-07-14,DE
elektro-eckert GmbH,elektro-eckert-ulm.de,https://www.elektro-eckert-ulm.de/,0731 383446,Ulm,Baden-Württemberg,89081,Germany,Construction,Elektrotechnik / Elektroinstallation,A,~10,mittel,Tobias Eckert (Geschäftsführer (2. Generation)),"Ihr Betrieb wächst und Sie stellen aktiv ein – sobald mehr Kolonnen unterwegs sind, wird Einsatzplanung, Zeiterfassung und Baustellendoku schnell zum Nadelöhr. Genau dafür bündelt unsere Handwerkersoftware Angebote, Zeiten und Doku an einem Ort.",inhabergefuehrt/Familienbetrieb seit 1980 (2. Generation seit 2020) | veraltete Sammel-Email @t-online.de statt Domain-Postfach | keine Online-Terminbuchung | offene Stellen / Jobs-Bereich | Innungsbetrieb HWK Ulm,https://www.elektro-eckert-ulm.de/,uebergeben,2026-07-14,DE
Elektro Osswald GmbH,e-osswald.de,https://e-osswald.de/,0711 3429310,Ostfildern,Baden-Württemberg,73760,Germany,Construction,Elektrotechnik / Elektroinstallation,D,~20,niedrig,"Reiner Osswald (Geschäftsführer (weitere GF: Michael Federle, Patrick Luz))","Ihr Betrieb wächst und Sie stellen aktiv ein – sobald mehr Kolonnen unterwegs sind, wird Einsatzplanung, Zeiterfassung und Baustellendoku schnell zum Nadelöhr. Genau dafür bündelt unsere Handwerkersoftware Angebote, Zeiten und Doku an einem Ort.","inhabergefuehrter Familienbetrieb seit 1959 | offene Stellen / Jobs-Bereich | breites Leistungsspektrum -> mehrere Kolonnen | lange am Markt, etabliert",https://e-osswald.de/,neu,2026-07-14,DE
E Hase Elektrotechnik (Inh. Nermin Hasecic),ehase-elektrotechnik.de,https://www.ehase-elektrotechnik.de/,0721 66530160,Karlsruhe,Baden-Württemberg,76135,Germany,Construction,Elektrotechnik / Elektroinstallation,B,~5,niedrig,Nermin Hasecic (Inhaber (Staatl. gepr. Techniker Elektrotechnik)),"Ihr Betrieb wächst und Sie stellen aktiv ein – sobald mehr Kolonnen unterwegs sind, wird Einsatzplanung, Zeiterfassung und Baustellendoku schnell zum Nadelöhr. Genau dafür bündelt unsere Handwerkersoftware Angebote, Zeiten und Doku an einem Ort.","inhabergefuehrt, >15 Jahre am Markt (seit 2008) | offene Stellen / Stellenangebote | keine Online-Terminbuchung | Notdienst beworben (Erreichbarkeit)",https://www.ehase-elektrotechnik.de/,uebergeben,2026-07-14,DE
Fuchs und Vögele Elektro GbR,fv-elektro.de,https://www.fv-elektro.de/,+49 160 5059500,Freiburg,Baden-Württemberg,79111,Germany,Construction,Elektroinstallation / Elektrotechnik,B,~4,niedrig,Jannik Fuchs (Gesellschafter/Inhaber (GbR; zweiter Inhaber: Jürgen Vögele)),Anfragen erreichen Sie aktuell nur per Telefon/Formular – mit digitaler Angebots- und Rechnungserstellung plus mobiler Baustellendoku verlieren Sie im Tagesgeschäft weniger Zeit und wirken für Elektro-Kunden moderner.,"inhabergefuehrt (2 Gruender, GbR) | keine Online-Terminbuchung (Vor-Ort-Beratung / WhatsApp) | junger, wachsender Betrieb | nur Mobilnummer als Haupt-Telefon",https://www.fv-elektro.de/,neu,2026-07-14,DE
Elektro Öztürk (Inh. Mutlu Öztürk),elektro-oeztuerk.de,https://www.elektro-oeztuerk.de/,+49 7231 7818809,Pforzheim,Baden-Württemberg,75180,Germany,Construction,Elektro- und Kommunikationstechnik / Elektroinstallation,B,~3,niedrig,Mutlu Öztürk (Inhaber (Elektrotechnikermeister)),Anfragen erreichen Sie aktuell nur per Telefon/Formular – mit digitaler Angebots- und Rechnungserstellung plus mobiler Baustellendoku verlieren Sie im Tagesgeschäft weniger Zeit und wirken für Elektro-Kunden moderner.,inhabergefuehrt seit 2004 (20 Jahre) | keine Online-Terminbuchung | Website nur ueber http (kein https) -> wenig gepflegt | kleiner Meisterbetrieb,https://www.elektro-oeztuerk.de/,neu,2026-07-14,DE
Elektro Haack (Inh. Tobias Haack),haackelektro.de,https://www.haackelektro.de/,0176 62145186,Heilbronn,Baden-Württemberg,74080,Germany,Construction,"Elektrotechnik / Elektroinstallation (Smart Home, E-Mobilität, PV)",B,~3,mittel,Tobias Haack (Inhaber / Elektromeister),"Als inhabergeführter Elektro-Betrieb jonglieren Sie Angebote, Baustellendoku und Rechnungen oft parallel – unsere Handwerkersoftware bündelt das an einem Ort und spart Ihnen Büro-Zeit für die Baustelle.","inhabergefuehrter Kleinbetrieb | hohe Nachfrage / moegliche Terminverzoegerungen selbst kommuniziert | sehr gute Google-Bewertungen (5,0) | Fokus Zukunftsthemen (KNX, Wallbox, PV)",https://www.haackelektro.de/,neu,2026-07-14,DE
Sökefeld Elektrotechnik,soekefeld-elektrotechnik.de,https://www.soekefeld-elektrotechnik.de/,0231 356066,Dortmund,Nordrhein-Westfalen,44357,Germany,Construction,Elektrotechnik / Elektroinstallation (Handwerksmeister),A,~12,mittel,Burkhard Sökefeld (Inhaber (Handwerksmeister)),"Ihr Betrieb wächst und Sie stellen aktiv ein – sobald mehr Kolonnen unterwegs sind, wird Einsatzplanung, Zeiterfassung und Baustellendoku schnell zum Nadelöhr. Genau dafür bündelt unsere Handwerkersoftware Angebote, Zeiten und Doku an einem Ort.","Inhabergefuehrter Familienbetrieb seit ueber 20 Jahren | Aktive Stellenanzeige/Jobseite -> Wachstum/Personalbedarf | Kolonnen mit Azubis (4) -> Koordinations-/Zeiterfassungsbedarf | Breites Leistungsspektrum (E-Check, Smart Home, Sicherheitstechnik) -> Baustellendoku relevant",https://www.soekefeld-elektrotechnik.de/,uebergeben,2026-07-14,DE
Elektrotechnik Arslan (Inh. Avni Arslan),elektrotechnik-arslan.de,https://www.elektrotechnik-arslan.de/,+49 163 7564872,Bielefeld,Nordrhein-Westfalen,33607,Germany,Construction,Elektrotechnik / Elektroinstallation (Meisterbetrieb),A,~9,mittel,Avni Arslan (Inhaber),Anfragen erreichen Sie aktuell nur per Telefon/Formular – mit digitaler Angebots- und Rechnungserstellung plus mobiler Baustellendoku verlieren Sie im Tagesgeschäft weniger Zeit und wirken für Elektro-Kunden moderner.,"Inhabergefuehrt, ueber 25 Jahre Erfahrung | Als einziger Kontakt nur Mobilnummer + WhatsApp, kein Festnetz -> keine geregelte Erreichbarkeit/Terminbuchung (starkes Software-Signal) | Keine Online-Terminbuchung, keine Social-Media-Praesenz -> geringer Digitalisierungsgrad | E-Check/DGUV V3, PV, Sanierung -> Dokumentations- und Pruefprotokollbedarf",https://www.elektrotechnik-arslan.de/,uebergeben,2026-07-14,DE
Jürgen Koopmann Elektrotechnik,elektro-koopmann.net,https://www.elektro-koopmann.net/,+49 251 6865555,Münster,Nordrhein-Westfalen,48155,Germany,Construction,Elektrotechnik / Elektroinstallation (inhabergefuehrter Meisterbetrieb),B,,niedrig,Jürgen Koopmann (Inhaber),Anfragen erreichen Sie aktuell nur per Telefon/Formular – mit digitaler Angebots- und Rechnungserstellung plus mobiler Baustellendoku verlieren Sie im Tagesgeschäft weniger Zeit und wirken für Elektro-Kunden moderner.,"Inhabergefuehrt, regionaler Partner seit 2005 | Kleiner Meisterbetrieb ohne sichtbare Betriebssoftware-Prozesse | Keine Online-Terminbuchung, nur Kontakt per Telefon/E-Mail | Breites Leistungsspektrum inkl. PV, Wallbox, Netzwerk -> steigende Angebotskomplexitaet",https://www.elektro-koopmann.net/,neu,2026-07-14,DE
Elektrotechnik Luft (Elektrotechnikermeister Dennis Luft),elektrotechnik-luft.de,https://www.elektrotechnik-luft.de/,0201 8066924-0,Essen,Nordrhein-Westfalen,45289,Germany,Construction,Elektrotechnik / Elektroinstallation (Meisterbetrieb),B,,niedrig,Dennis Luft (Inhaber (Elektrotechnikermeister)),"Ihr Betrieb wächst und Sie stellen aktiv ein – sobald mehr Kolonnen unterwegs sind, wird Einsatzplanung, Zeiterfassung und Baustellendoku schnell zum Nadelöhr. Genau dafür bündelt unsere Handwerkersoftware Angebote, Zeiten und Doku an einem Ort.","Inhabergefuehrter Einzel-Meisterbetrieb | Aktive Jobseite (/jobs/) -> Personalbedarf/Wachstum | 24-Stunden-Notdienst -> Einsatzplanung/Zeiterfassung relevant | Sehr breites Leistungsportfolio (Smart Home, PV, Video, Wallbox, EDV) -> Angebots-/Rechnungskomplexitaet",https://www.elektrotechnik-luft.de/,neu,2026-07-14,DE
