Company name,Company Domain Name,Website URL,Phone Number,City,State/Region,Postal Code,Country,Industry,Gewerk,Lead Score,MA-Schaetzung,MA-Konfidenz,Ansprechpartner,Aufhaenger,Fit-Signale,Quelle-URL,Lead-Status,Gefunden am,Land-Code
Martius Bedachungen (Inh. Ralf Martius),martius-bedachungen.de,https://www.martius-bedachungen.de/,+49 37601 20572,Mülsen (Raum Zwickau/Chemnitz),Sachsen,08132,Germany,Construction,Dachdecker/Zimmerer,B,~10,niedrig,Ralf Martius (Inhaber / Dachdeckermeister),"Ihr Betrieb wächst und Sie stellen aktiv ein – sobald mehr Kolonnen unterwegs sind, wird Einsatzplanung, Zeiterfassung und Baustellendoku schnell zum Nadelöhr. Genau dafür bündelt unsere Handwerkersoftware Angebote, Zeiten und Doku an einem Ort.","inhabergefuehrter Familienbetrieb in 5. Generation | aktive Stellenausschreibungen (Kapazitaets-/Planungsdruck) | keine Online-Terminbuchung, nur Kontaktformular | Zusatzgeschaeft PV/Solar & energetische Sanierung (Projektkomplexitaet) | Ausbildungsbetrieb (Zeiterfassung/Doku relevant)",https://www.martius-bedachungen.de/impressum,uebergeben,2026-07-14,DE
Roland Köhler Dachdecker GmbH,dachdecker-koehler-erfurt.de,https://dachdecker-koehler-erfurt.de/,+49 361 2227762,Erfurt,Thüringen,99087,Germany,Construction,Dachdecker/Zimmerer,B,~8,niedrig,Roland Köhler (Geschäftsführer (aus Firmenname abgeleitet)),Anfragen erreichen Sie aktuell nur per Telefon/Formular – mit digitaler Angebots- und Rechnungserstellung plus mobiler Baustellendoku verlieren Sie im Tagesgeschäft weniger Zeit und wirken für Dach/Zimmerer-Kunden moderner.,"Meisterbetrieb, ~25 Jahre am Markt, inhabergefuehrte GmbH | keine Online-Terminbuchung, nur Kontaktformular + Havarie-Telefon | PQ-VOB-zertifiziert (oeffentliche Auftraege -> hoher Doku-/Nachweisbedarf) | Innungs-/VELUX-Fachbetrieb",https://dachdecker-koehler-erfurt.de/impressum/,uebergeben,2026-07-14,DE
elektro-eckert GmbH,elektro-eckert-ulm.de,https://www.elektro-eckert-ulm.de/,0731 383446,Ulm,Baden-Württemberg,89081,Germany,Construction,Elektrotechnik / Elektroinstallation,A,~10,mittel,Tobias Eckert (Geschäftsführer (2. Generation)),"Ihr Betrieb wächst und Sie stellen aktiv ein – sobald mehr Kolonnen unterwegs sind, wird Einsatzplanung, Zeiterfassung und Baustellendoku schnell zum Nadelöhr. Genau dafür bündelt unsere Handwerkersoftware Angebote, Zeiten und Doku an einem Ort.",inhabergefuehrt/Familienbetrieb seit 1980 (2. Generation seit 2020) | veraltete Sammel-Email @t-online.de statt Domain-Postfach | keine Online-Terminbuchung | offene Stellen / Jobs-Bereich | Innungsbetrieb HWK Ulm,https://www.elektro-eckert-ulm.de/,uebergeben,2026-07-14,DE
E Hase Elektrotechnik (Inh. Nermin Hasecic),ehase-elektrotechnik.de,https://www.ehase-elektrotechnik.de/,0721 66530160,Karlsruhe,Baden-Württemberg,76135,Germany,Construction,Elektrotechnik / Elektroinstallation,B,~5,niedrig,Nermin Hasecic (Inhaber (Staatl. gepr. Techniker Elektrotechnik)),"Ihr Betrieb wächst und Sie stellen aktiv ein – sobald mehr Kolonnen unterwegs sind, wird Einsatzplanung, Zeiterfassung und Baustellendoku schnell zum Nadelöhr. Genau dafür bündelt unsere Handwerkersoftware Angebote, Zeiten und Doku an einem Ort.","inhabergefuehrt, >15 Jahre am Markt (seit 2008) | offene Stellen / Stellenangebote | keine Online-Terminbuchung | Notdienst beworben (Erreichbarkeit)",https://www.ehase-elektrotechnik.de/,uebergeben,2026-07-14,DE
Sökefeld Elektrotechnik,soekefeld-elektrotechnik.de,https://www.soekefeld-elektrotechnik.de/,0231 356066,Dortmund,Nordrhein-Westfalen,44357,Germany,Construction,Elektrotechnik / Elektroinstallation (Handwerksmeister),A,~12,mittel,Burkhard Sökefeld (Inhaber (Handwerksmeister)),"Ihr Betrieb wächst und Sie stellen aktiv ein – sobald mehr Kolonnen unterwegs sind, wird Einsatzplanung, Zeiterfassung und Baustellendoku schnell zum Nadelöhr. Genau dafür bündelt unsere Handwerkersoftware Angebote, Zeiten und Doku an einem Ort.","Inhabergefuehrter Familienbetrieb seit ueber 20 Jahren | Aktive Stellenanzeige/Jobseite -> Wachstum/Personalbedarf | Kolonnen mit Azubis (4) -> Koordinations-/Zeiterfassungsbedarf | Breites Leistungsspektrum (E-Check, Smart Home, Sicherheitstechnik) -> Baustellendoku relevant",https://www.soekefeld-elektrotechnik.de/,uebergeben,2026-07-14,DE
Elektrotechnik Arslan (Inh. Avni Arslan),elektrotechnik-arslan.de,https://www.elektrotechnik-arslan.de/,+49 163 7564872,Bielefeld,Nordrhein-Westfalen,33607,Germany,Construction,Elektrotechnik / Elektroinstallation (Meisterbetrieb),A,~9,mittel,Avni Arslan (Inhaber),Anfragen erreichen Sie aktuell nur per Telefon/Formular – mit digitaler Angebots- und Rechnungserstellung plus mobiler Baustellendoku verlieren Sie im Tagesgeschäft weniger Zeit und wirken für Elektro-Kunden moderner.,"Inhabergefuehrt, ueber 25 Jahre Erfahrung | Als einziger Kontakt nur Mobilnummer + WhatsApp, kein Festnetz -> keine geregelte Erreichbarkeit/Terminbuchung (starkes Software-Signal) | Keine Online-Terminbuchung, keine Social-Media-Praesenz -> geringer Digitalisierungsgrad | E-Check/DGUV V3, PV, Sanierung -> Dokumentations- und Pruefprotokollbedarf",https://www.elektrotechnik-arslan.de/,uebergeben,2026-07-14,DE
Dennis Pitz Elektrotechnik,pitz-elektrotechnik.de,https://pitz-elektrotechnik.de/,0152 06225139,Aachen,Nordrhein-Westfalen,52078,Germany,Construction,Elektrotechnik / Elektroinstallation (Meisterbetrieb),B,,niedrig,Dennis Pitz (Inhaber (aus Firmenname; Meister)),"Ihr Betrieb wächst und Sie stellen aktiv ein – sobald mehr Kolonnen unterwegs sind, wird Einsatzplanung, Zeiterfassung und Baustellendoku schnell zum Nadelöhr. Genau dafür bündelt unsere Handwerkersoftware Angebote, Zeiten und Doku an einem Ort.","Junger, sehr kleiner inhabergefuehrter Meisterbetrieb -> hoher Bedarf an Grundprozessen (Angebote/Rechnungen) | Nur Mobilnummer als Kontakt, keine Online-Terminbuchung | Neubauplanungen und Sanierungen -> Baustellendokumentation relevant | Wachstumsphase typischerweise mit Zettelwirtschaft",https://pitz-elektrotechnik.de/,uebergeben,2026-07-14,DE
Kölner Meisterfenster Limbach GmbH,koelner-meisterfenster.de,https://koelner-meisterfenster.de/,+49 2236 3189590,Köln (Rodenkirchen),Nordrhein-Westfalen,50996,Germany,Construction,"Fensterbau (Fenster, Türen, Sonnenschutz)",A,~3,mittel,Patrick Limbach (Geschäftsführer / Schreinermeister (Gründer)),"Anfragen erreichen Sie aktuell nur per Telefon/Formular – mit digitaler Angebots- und Rechnungserstellung plus mobiler Baustellendoku verlieren Sie im Tagesgeschäft weniger Zeit und wirken für fensterbau (fenster, türen, sonnenschutz)-Kunden moderner.",inhabergefuehrt seit 2009 (Schreinermeister) | Modell mit 4 festen Partnerbetrieben -> Koordinationsbedarf | schlanke Zentrale (3 MA) -> Software zur Auftrags-/Terminsteuerung attraktiv | keine Online-Terminbuchung,https://koelner-meisterfenster.de/impressum,uebergeben,2026-07-14,DE
A+W+G Garten- & Landschaftsbau (Andy Wagner),awg-galabau.de,https://www.awg-galabau.de/,0561 813463,Fuldatal (bei Kassel),Hessen,34233,Germany,Construction,GaLaBau,B,,niedrig,Andy Wagner (Inhaber),"Ihr Betrieb wächst und Sie stellen aktiv ein – sobald mehr Kolonnen unterwegs sind, wird Einsatzplanung, Zeiterfassung und Baustellendoku schnell zum Nadelöhr. Genau dafür bündelt unsere Handwerkersoftware Angebote, Zeiten und Doku an einem Ort.","inhabergefuehrter Familienbetrieb, >40 Jahre am Markt | offene Stellen (eigene /jobs-Seite) | eigener Fuhrpark / mehrere Fahrzeuge | keine Online-Terminbuchung",https://www.awg-galabau.de/,uebergeben,2026-07-14,DE
"E. Seyda GmbH (Schlosserei, Stahl- und Metallbau)",metallbau-seyda.de,https://www.metallbau-seyda.de/,06151 374350,Darmstadt-Arheilgen,Hessen,64291,Germany,Construction,Metallbau,A,~19,mittel,Eugen Seyda (Gründer / Schlossermeister),"Ihr Betrieb wächst und Sie stellen aktiv ein – sobald mehr Kolonnen unterwegs sind, wird Einsatzplanung, Zeiterfassung und Baustellendoku schnell zum Nadelöhr. Genau dafür bündelt unsere Handwerkersoftware Angebote, Zeiten und Doku an einem Ort.",19 MA (Kern-ICP-Groesse) | offene Stellen (Jobs-Bereich in Navigation) | inhabergefuehrt seit 1982 | breites Schlosserei-/Metallbau-Spektrum inkl. Reparaturen -> viele Auftraege/Zeiterfassung relevant,https://www.metallbau-seyda.de/,uebergeben,2026-07-14,DE
Werner Anderlik Garten- und Landschaftsbau GmbH,gartenbau-anderlik.de,https://www.gartenbau-anderlik.de/,089 4300381,München,Bayern,81739,Germany,Construction,GaLaBau,A,~9,mittel,Werner Anderlik (Inhaber / Geschäftsführer),"Ihr Betrieb wächst und Sie stellen aktiv ein – sobald mehr Kolonnen unterwegs sind, wird Einsatzplanung, Zeiterfassung und Baustellendoku schnell zum Nadelöhr. Genau dafür bündelt unsere Handwerkersoftware Angebote, Zeiten und Doku an einem Ort.",inhabergefuehrt und ueber 30 Jahre am Markt | offene Stellen (Jobs-Bereich) | keine Online-Terminbuchung | keine Social-Media -> traditionell/analog | einfache .html-Website wirkt veraltet,https://www.gartenbau-anderlik.de/,uebergeben,2026-07-14,DE
Willi Strauß Garten + Landschaftsbau e.K.,strauss-galabau.de,https://www.strauss-galabau.de/,0711 484422,Stuttgart,Baden-Württemberg,70186,Germany,Construction,GaLaBau,A,~6,mittel,Martina & Marek (Strauß) (Inhaberin / Meister & Betriebsleitung),"Ihr Betrieb wächst und Sie stellen aktiv ein – sobald mehr Kolonnen unterwegs sind, wird Einsatzplanung, Zeiterfassung und Baustellendoku schnell zum Nadelöhr. Genau dafür bündelt unsere Handwerkersoftware Angebote, Zeiten und Doku an einem Ort.","Familienbetrieb seit 1952 (Generationswechsel) | anerkannter Ausbildungsbetrieb seit 2021 | keine Online-Terminbuchung | keine Social-Media -> geringe Digitalisierung | kleines Team, Software-Potenzial",https://www.strauss-galabau.de/,uebergeben,2026-07-14,DE
Brunner Garten- & Landschaftsbau (Markus Brunner),gala-brunner.de,https://www.gala-brunner.de/,0175 4073526,Nürnberg,Bayern,90425,Germany,Construction,GaLaBau,B,,niedrig,Markus Brunner (Inhaber und Geschäftsführer),"Ihr Betrieb wächst und Sie stellen aktiv ein – sobald mehr Kolonnen unterwegs sind, wird Einsatzplanung, Zeiterfassung und Baustellendoku schnell zum Nadelöhr. Genau dafür bündelt unsere Handwerkersoftware Angebote, Zeiten und Doku an einem Ort.","offene Stellen: Landschaftsgaertner, Meister, Vorarbeiter -> Wachstum / mehrere Kolonnen | nur Mobilnummer als Kontakt -> Erreichbarkeit begrenzt | inhabergefuehrt seit 2005 | keine Online-Terminbuchung | keine Social-Media",https://www.gala-brunner.de/,uebergeben,2026-07-14,DE
Malerfachbetrieb Köbel,maler-koebel.de,https://www.maler-koebel.de/,07121 2082505,Reutlingen,Baden-Württemberg,72766,Germany,Construction,Maler und Lackierer (Malerfachbetrieb),A,~5,mittel,Markus Köbel (Inhaber / Maler- und Lackierermeister),Anfragen erreichen Sie aktuell nur per Telefon/Formular – mit digitaler Angebots- und Rechnungserstellung plus mobiler Baustellendoku verlieren Sie im Tagesgeschäft weniger Zeit und wirken für Maler/Stuck.-Kunden moderner.,"kleiner Familienbetrieb in 3. Generation | inhabergefuehrt | nur Telefon/Mail, keine Online-Terminbuchung | klassische Website",https://www.maler-koebel.de/,uebergeben,2026-07-14,DE
Top Malerei Tomic GmbH,top-malerei.at,https://top-malerei.at/,+43 664 3837876,Linz,Oberösterreich,4030,Austria,Construction,Maler,B,5-15,niedrig,Tihomir Tomic (Geschäftsführer),Anfragen erreichen Sie aktuell nur per Telefon/Formular – mit digitaler Angebots- und Rechnungserstellung plus mobiler Baustellendoku verlieren Sie im Tagesgeschäft weniger Zeit und wirken für Maler/Stuck.-Kunden moderner.,keine Online-Terminbuchung | keine Social-Media-Praesenz auffindbar | WordPress-Standardseite (AdSimple-Impressum) | inhabergefuehrte GmbH | mehrere Leistungssparten -> mehrere Kolonnen wahrscheinlich,https://top-malerei.at/impressum/,uebergeben,2026-07-14,AT
ALFIDA FLIESEN - Serhat Dalfidan,alfidafliesen.at,https://www.alfidafliesen.at/,+43 676 6218136,Feldkirchen bei Graz,Steiermark,8073,Austria,Construction,Fliesenleger,B,2-6,niedrig,Serhat Dalfidan (Inhaber),Anfragen erreichen Sie aktuell nur per Telefon/Formular – mit digitaler Angebots- und Rechnungserstellung plus mobiler Baustellendoku verlieren Sie im Tagesgeschäft weniger Zeit und wirken für Fliesenleger-Kunden moderner.,"keine Online-Terminbuchung (nur telefonisch) | HEROLD-Baukasten-Website | breites Leistungsspektrum (Estrich, Abdichtung, XXL-Format, bodengleiche Duschen) | aktiv auf Instagram/Facebook | inhabergefuehrt",https://www.alfidafliesen.at/impressum,uebergeben,2026-07-14,AT
Malerei Klaus Kirchbaumer (Inh. Mag. Jasmin Kirchbaumer),kirchbaumer.info,https://www.kirchbaumer.info/,+43 512 583817,Innsbruck,Tirol,6020,Austria,Construction,Maler,B,3-8,niedrig,Mag. Jasmin Kirchbaumer (Inhaberin),Anfragen erreichen Sie aktuell nur per Telefon/Formular – mit digitaler Angebots- und Rechnungserstellung plus mobiler Baustellendoku verlieren Sie im Tagesgeschäft weniger Zeit und wirken für Maler/Stuck.-Kunden moderner.,"veraltete Website (einfache Struktur) | keine Online-Terminbuchung | nur traditionelle Kontaktwege (Festnetz/Mobil) | einer der aeltesten Malerbetriebe Innsbrucks (seit 1968) | inhabergefuehrt, Nischenpositionierung Baubiologie",https://www.kirchbaumer.info/impressum,uebergeben,2026-07-14,AT
Jacksch Möbel e.U.,jacksch-moebel.at,https://www.jacksch-moebel.at/,+43 7247 8250,Pichl bei Wels (Etzelsdorf 35),Oberösterreich,4632,Austria,Construction,Tischler,A,~11,mittel,Aaron Benedikt Jacksch (Geschäftsführung (Victoria Jacksch: Planung & Design)),"Ihr Betrieb wächst und Sie stellen aktiv ein – sobald mehr Kolonnen unterwegs sind, wird Einsatzplanung, Zeiterfassung und Baustellendoku schnell zum Nadelöhr. Genau dafür bündelt unsere Handwerkersoftware Angebote, Zeiten und Doku an einem Ort.",keine Online-Terminbuchung | familiengefuehrt mit Generationswechsel 2019 (Uebernahme durch Aaron & Victoria) | 11 MitarbeiterInnen und wachsend | Lehrlingsausbildung | seit 1982 am Markt,https://www.jacksch-moebel.at/unternehmen/,uebergeben,2026-07-14,AT
Kleinau Malermeister GmbH,kleinau-malermeister.de,https://kleinau-malermeister.de,+49 211 23949664,Düsseldorf,Nordrhein-Westfalen,40625,Germany,Construction,Maler & Lackierer,A,~8,mittel,Mark Kleinau (Geschäftsführer / Malermeister),"Ihr Betrieb wächst und Sie stellen aktiv ein – sobald mehr Kolonnen unterwegs sind, wird Einsatzplanung, Zeiterfassung und Baustellendoku schnell zum Nadelöhr. Genau dafür bündelt unsere Handwerkersoftware Angebote, Zeiten und Doku an einem Ort.","inhabergefuehrt in 2. Generation seit 2001, gegruendet 1959 | offene Stellen / Ausbildung (Karriereseite) | keine Online-Terminbuchung erkennbar | ueberschaubares Team von 8 MA - gute Zielgroesse",https://kleinau-malermeister.de/ueber-uns/,uebergeben,2026-07-14,DE
Jürgen Feistel Malermeister,juergenfeistel.de,https://www.juergenfeistel.de,+49 202 2462472,Wuppertal,Nordrhein-Westfalen,42369,Germany,Construction,Maler & Lackierer (Fassade / Restaurator),B,~3,niedrig,Jürgen Feistel (Inhaber / Malermeister),"Vieles läuft bei Ihnen offenbar noch über Telefon, Zettel und private Mailadresse – mit digitalen Angeboten, Rechnungen und Baustellendoku sparen Sie im Büro pro Woche spürbar Zeit, ohne Ihre gewohnte Arbeitsweise umzukrempeln.","inhabergefuehrt seit 1998 | t-online.de-Sammel-/Inhaber-E-Mail statt Domain-Postfach -> veraltete IT | keine Online-Terminbuchung, keine Social-Media | sehr kleiner Betrieb",https://www.juergenfeistel.de/impressum/,uebergeben,2026-07-14,DE
H. P. Jansen Maler-Meisterbetrieb,maler-jansen.de,https://maler-jansen.de,+49 2161 94233,Mönchengladbach,Nordrhein-Westfalen,41065,Germany,Construction,Maler & Lackierer,B,,niedrig,Heiner Jansen (Inhaber / Malermeister),"Ihr Betrieb wächst und Sie stellen aktiv ein – sobald mehr Kolonnen unterwegs sind, wird Einsatzplanung, Zeiterfassung und Baustellendoku schnell zum Nadelöhr. Genau dafür bündelt unsere Handwerkersoftware Angebote, Zeiten und Doku an einem Ort.","sehr lange inhabergefuehrt (seit 1902), Familienbetrieb | keine Online-Terminbuchung, keine Social-Media -> digital wenig aufgestellt | Ausbildungsbetrieb (Nachwuchs/Wachstum) | klassische, schlichte Website",https://maler-jansen.de/,uebergeben,2026-07-14,DE
Rolf Strang Malermeister,malermeister-strang.de,https://www.malermeister-strang.de,+49 172 7923566,Köln,Nordrhein-Westfalen,50767,Germany,Construction,Maler & Lackierer,B,,niedrig,Rolf Strang (Inhaber / Malermeister),"Vieles läuft bei Ihnen offenbar noch über Telefon, Zettel und private Mailadresse – mit digitalen Angeboten, Rechnungen und Baustellendoku sparen Sie im Büro pro Woche spürbar Zeit, ohne Ihre gewohnte Arbeitsweise umzukrempeln.","inhabergefuehrt, 28 Jahre am Markt | keine Social-Media, keine Online-Terminbuchung | nur Mobilnummer + Fax -> papier-/telefonlastige Prozesse | sehr schlichte, veraltete Website",https://www.malermeister-strang.de/,uebergeben,2026-07-14,DE
Metallbau Penkalla (Inh. Silvester Penkalla),metallbau-penkalla.de,https://www.metallbau-penkalla.de/,0177 3124511,Essen,Nordrhein-Westfalen,45359,Germany,Construction,Metallbau,B,,niedrig,Silvester Penkalla (Inhaber/Geschäftsführer),"Vieles läuft bei Ihnen offenbar noch über Telefon, Zettel und private Mailadresse – mit digitalen Angeboten, Rechnungen und Baustellendoku sparen Sie im Büro pro Woche spürbar Zeit, ohne Ihre gewohnte Arbeitsweise umzukrempeln.","Veraltete Website (Copyright 2018) | Keine Online-Terminbuchung | Nur Mobilnummer und Gmail-Adresse als Kontakt | inhabergefuehrt, FB inaktiv | Gelaender, Tore/Tueren, Leichtmetallbau",https://www.metallbau-penkalla.de/,uebergeben,2026-07-14,DE
Metall-Manufaktur Münster GmbH,mm-muenster.de,https://www.mm-muenster.de/,02533 919483,Münster,Nordrhein-Westfalen,48161,Germany,Construction,Metallbau,B,,niedrig,Lukas Schaffernicht (Geschäftsführer),"Ihr Betrieb wächst und Sie stellen aktiv ein – sobald mehr Kolonnen unterwegs sind, wird Einsatzplanung, Zeiterfassung und Baustellendoku schnell zum Nadelöhr. Genau dafür bündelt unsere Handwerkersoftware Angebote, Zeiten und Doku an einem Ort.","Veraltete/einfache Website | Keine Online-Terminbuchung | Karriereseite / Personalbedarf | Junges familiaeres Team, GmbH Muenster-Nienberge",https://www.mm-muenster.de/uber-uns/,uebergeben,2026-07-14,DE
